测试频道,#genre#
TVB1,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20095
待确认2,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20096
TVBe,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20097
明珠剧集台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20098
TVB Drama,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20099
黄金华剧台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20100
TVB星河,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20101
TVB星河,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20102
TVB武侠,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20103
TVB武侠,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20104
千禧经典台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20105
MyTV Super,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20106
无线新闻台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20107
Super华语剧台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20108
Super亚洲剧台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20109
Super Kids Channel,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20110
Super Free,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20111
Super粤语片台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20112
Super戏曲台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20113
天映经典,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20114
天映经典,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20115
PopC,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20118
创世电视,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20119
美亚电影台,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20120
重温经典,http://huhu11.a1.luyouxia.net:26894/play/%E7%94%B5%E8%A7%86%E5%AE%B6/%E7%94%B5%E8%A7%86%E5%AE%B6.php?id=20122
