上海电信,#genre#
欢笑剧场HD,http://180.171.157.7:8889/rtp/233.18.204.55:5140
财富天下HD,http://180.171.157.7:8889/rtp/233.18.204.231:5140
BesTV电影介绍HD,http://180.171.157.7:8889/rtp/233.18.204.116:5140
上海新闻综合HD,http://180.171.157.7:8889/rtp/233.18.204.57:5140
文化精品HD,http://180.171.157.7:8889/rtp/233.18.204.186:5140
未知节目HD,http://180.171.157.7:8889/rtp/233.18.204.202:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.158:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.159:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.160:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.161:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.162:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.163:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.164:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.165:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.166:5140
百事通画面HD,http://180.171.157.7:8889/rtp/233.18.204.167:5140


CCTV1HD,http://58.35.95.16:9898/rtp/233.18.204.168:5140
CCTV1HD,http://58.35.95.16:9898/rtp/233.18.204.52:5140
CCTV2HD,http://58.35.95.16:9898/rtp/233.18.204.68:5140
CCTV3HD,http://58.35.95.16:9898/rtp/233.18.204.69:5140
CCTV4HD,http://58.35.95.16:9898/rtp/233.18.204.70:5140
CCTV5HD,http://58.35.95.16:9898/rtp/233.18.204.71:5140
CCTV5+HD,http://58.35.95.16:9898/rtp/233.18.204.67:5140
CCTV6HD,http://58.35.95.16:9898/rtp/233.18.204.72:5140
CCTV7HD,http://58.35.95.16:9898/rtp/233.18.204.73:5140
CCTV8HD,http://58.35.95.16:9898/rtp/233.18.204.74:5140
CCTV9HD,http://58.35.95.16:9898/rtp/233.18.204.75:5140
CCTV10HD,http://58.35.95.16:9898/rtp/233.18.204.76:5140
CCTV11HD,http://58.35.95.16:9898/rtp/233.18.204.77:5140
